FID,line,route,grade,shape
GISDATA.MBTA_ARC.32,ORANGE,Forest Hills to Oak Grove,1,"LINESTRING (234806.05829855055 905421.7726998441, 234805.76839852333 905455.1002999581, 234805.70289970934 905515.8746992275, 234807.53840094805 905599.3604013771, 234807.36180081964 905610.3351006135, 234808.9715006277 905670.0122987777, 234814.34080080688 905791.8820986003, 234815.6750987172 905882.5327003784, 234815.34330103546 905888.1873007268, 234820.46019858867 906091.9689006768, 234821.51549891382 906168.1248007268, 234821.6992997676 906222.2457013465, 234824.0002003163 906365.6206004098, 234824.84349877387 906617.4994986877, 234824.92179922014 906621.5621998869, 234826.6615985334 906753.9859010763, 234826.7740002796 906763.812198922)"
GISDATA.MBTA_ARC.33,ORANGE,Forest Hills to Oak Grove,4,"LINESTRING (234806.8328985572 905053.560499642, 234806.8328985572 905332.7311991155, 234806.05829855055 905421.7726998441)"
GISDATA.MBTA_ARC.34,ORANGE,Forest Hills to Oak Grove,1,"LINESTRING (235735.3151998073 902429.2057990544, 235694.22509936243 902467.1533003077, 235584.24649886042 902559.4955011494, 235545.492700696 902589.2216984853, 235514.30059969425 902610.1272011511, 235480.12159914523 902628.3780011237, 235467.8437999338 902639.9921987243, 235453.90719941258 902649.6151985638, 235307.56889903545 902737.5507007726, 235273.7215994969 902761.1108998992, 235257.46200039983 902775.3798001967, 235196.7366995141 902825.154399056, 235179.48129884154 902842.0780987255, 235115.4377996847 902909.1081013829, 235066.65800135583 902969.8338014409, 235041.43890111893 903007.3307008855, 234902.23690018803 903223.5820995569, 234889.6693007499 903242.6985985003, 234880.99610082805 903258.6294997409, 234873.5617993772 903276.3298015259, 234866.6584989652 903293.4998008236, 234862.41050001234 903305.1821012311, 234854.9761985615 903329.0780991353, 234848.78100140393 903356.5135998018, 234845.06390057504 903376.1615987532, 234842.05489988625 903398.6414992921, 234840.10769857466 903419.1743014269, 234838.86870030314 903439.7070006505, 234837.8068011403 903459.7087986283, 234837.27589989454 903481.1263010353, 234836.7448988557 903502.5441994965, 234839.04589919746 903730.8823989183, 234838.69150140882 903826.819400575, 234838.16060016304 904011.4369000942, 234837.27589989454 904046.3072011806, 234836.56779975444 904161.0075015165, 234830.0842992738 904368.6383007765, 234828.95019953698 904438.9604992718, 234828.38340070844 904470.4351997748, 234828.38340070844 904516.9385999665, 234827.53249923885 904574.784400899, 234826.682099849 904603.423601009, 234824.41340140253 904637.1665009931, 234820.8140007332 904682.4682007246, 234816.4737988487 904737.8292004578, 234811.9370007217 904797.6599994823, 234808.25059885532 904854.3711985871, 234807.1164991185 904879.0403993949, 234806.54920132458 904924.9764986746, 234806.8328985572 905043.2198007815, 234806.8328985572 905053.560499642)"
GISDATA.MBTA_ARC.35,GREEN,C - Cleveland Circle,2,"LINESTRING (228902.42179869115 898464.3439998068, 229190.73299970478 898553.3613006175, 229308.43719879538 898585.8122993223, 229408.70270154625 898614.3747988008, 229448.68480136245 898626.3525003418, 229489.61970113963 898637.4889990911, 229577.81119854003 898662.4715014882, 229650.80189929903 898685.1967006102, 229765.93220032752 898723.1220009327, 229856.380598709 898752.7699009366, 229969.7051993236 898790.5448000357, 229990.32290074974 898797.0159011781, 230009.13530093431 898803.6376000158, 230024.18500091136 898810.4102988467, 230032.42160129547 898814.6245987937, 230048.0155997947 898823.5620985962, 230062.34340006858 898830.5621986724, 230077.0091010183 898836.8975994103, 230094.01570098847 898842.4661996216, 230109.81239872426 898846.0624006651, 230133.12480131537 898849.999698896, 230151.4375013113 898852.8121002167, 230180.8523991555 898855.2584996447, 230206.88809998333 898856.311701186, 230229.96860126406 898857.0622010753, 230287.10319910198 898856.4621990882, 230325.3290991783 898856.6127001122, 230347.75319957733 898857.6664006189, 230370.02669916302 898858.8701000661, 230390.3439006284 898860.2248992957, 230409.45690056682 898862.1812005304, 230426.18749987334 898864.249700807, 230449.5296003744 898867.6206991784, 230471.61210150272 898871.6624000892, 230495.54149903357 898876.1772997901, 230516.6108001992 898880.6920996979, 230533.7673991099 898885.3578995988, 230551.82720062137 898890.6248990037, 230569.58590029925 898896.4944014661, 230588.99989916384 898902.6650993228, 230610.22020032257 898909.8888989277, 230629.6342989728 898917.1126985326, 230649.49990069866 898925.0890999287, 230667.25860037655 898932.7640003078, 230682.45829928666 898939.9882988818, 230706.68869886547 898951.8774992116, 230726.1027008444 898961.8102985136, 230742.2055992484 898970.2378006838, 230760.56649947912 898979.7194992118, 230772.90719976276 898986.0401991233, 230783.74319855124 898991.7592005655, 230798.04029985517 898999.1335011944, 230812.48789906502 899006.2067997754, 230826.7850003764 899012.2264009677, 230855.53019986302 899023.0623997562, 230876.14790128917 899031.0388011523, 230896.91669937968 899038.7142005004, 230929.27359908074 899049.5497003198, 230947.93489947915 899055.2686986439, 230958.40580075234 899058.687298499, 230981.2968004793 899065.4370011725, 231020.0152998194 899076.3748984486, 231058.6174992323 899088.2378998734, 231130.93760036677 899112.7499010228, 231169.61709917337 899128.1094004624, 231187.82739859074 899135.4838008843, 231200.46920070797 899140.149098698, 231212.65939996392 899144.3628996797, 231225.9028007686 899147.523399327, 231236.7387995571 899148.8776995875, 231246.97260089964 899150.3829998374, 231257.95859862864 899152.6403997913, 231268.34300079197 899155.8008994386, 231538.93649853766 899259.4932007082, 231760.46820033342 899343.4704012759, 231852.1873999089 899376.3122005537, 231897.96829851717 899392.9372994564, 232084.59339935333 899464.4371014051, 232138.12500083447 899484.5623002425, 232173.3434002474 899498.3744988553, 232323.62769959867 899554.9187996238, 232335.96849966794 899559.8851992749, 232346.95499948412 899565.303098876, 232358.84410002083 899571.6237987913, 232370.13109979033 899577.7939010039, 232384.1277011335 899583.8140011653, 232405.94970077276 899592.3925999999, 232503.6217989698 899629.5652985387, 232504.04929858446 899629.7205990031)"
GISDATA.MBTA_ARC.36,GREEN,E - Lechmere,4,"LINESTRING (235839.8907013312 901789.9768988416, 235797.48990101367 901810.146200154, 235783.05050045997 901817.0217985213, 235768.61100010574 901823.2103999518, 235757.23030050844 901827.4353996329, 235740.5847002864 901832.4288994484, 235720.37190149724 901838.8493990637, 235701.58560042083 901844.7941988148, 235683.80900029838 901850.4846000709, 235666.1608998552 901857.36020156, 235653.554898642 901863.3193996362, 235642.32420109212 901869.7367994189, 235507.3057013601 901960.3634008728, 235215.79180052876 902158.7520994805, 235051.2294011712 902270.5995010585, 235032.89369878918 902282.9760989211, 235009.51570070535 902297.6448997073, 234993.4722012505 902306.35400033, 234974.67820049077 902314.376001101, 234959.09299940616 902319.8764985092, 234940.75720035285 902325.3774013259, 234924.4674012661 902329.0202994756, 234904.57670148462 902332.5679010972, 234891.1475008428 902334.5948997661, 234879.49179851264 902337.0017996915, 234871.76369885355 902339.2822987139, 234867.7249013111 902340.8735991046)"
GISDATA.MBTA_ARC.37,RED,B - Braintree  C - Alewife,1,"LINESTRING (241148.21189852804 884240.9674991556, 241153.5936011672 884289.499999918, 241159.48769959807 884326.1643006355, 241162.6718004048 884350.4371997528, 241165.14020116627 884374.4996999428, 241179.58880143613 884507.2695004679, 241193.4840001464 884619.2494994961, 241201.37490037084 884695.8124009669, 241229.21850018203 884949.999999281, 241241.9996015057 885066.9372013696, 241254.01519961655 885186.5623997487, 241264.01559963822 885279.1248011142, 241270.27479870617 885367.4939994924, 241271.5777988881 885404.9371009022, 241270.27479870617 885438.8365986645, 241268.21700128168 885464.0469014794, 241265.47269964963 885484.7977991179, 241260.6711993441 885512.4088988677, 241255.69759897143 885536.247100763, 241235.46079985052 885616.8507987633, 241230.3157012835 885634.6862988658, 241225.51420098543 885651.150200136, 241218.93710047007 885670.1248987988, 241213.82779969275 885683.3124994561, 241210.25099912286 885693.5100009292, 241201.84750039876 885713.2317004763, 241189.4008007422 885739.4327996112, 241179.39019995928 885757.6246996112, 241158.4530003965 885795.3748998232, 241116.9564006105 885867.9222992882, 241088.83119922876 885919.7141014636, 241062.24920090288 885973.9072993323, 241025.64070032537 886052.6871999949, 240986.3590009585 886132.4998008795, 240944.9448991865 886215.8898010924, 240909.61629972607 886286.7177996598, 240865.8433984816 886374.3123013526, 240825.87459926307 886455.4996009059, 240798.6583011821 886512.0648988448, 240783.5659987554 886544.6495989636, 240770.87560033053 886573.4607993551, 240762.47220140696 886593.8690997846, 240753.21109945327 886617.0212995559, 240745.1511989981 886638.9727999233, 240736.2331994623 886664.6972012594, 240728.85879904032 886686.9917011298, 240718.56869858503 886720.6054995507, 240711.5374005735 886744.7862986587, 240701.1141007915 886787.1956999265, 240696.10260073096 886809.4405993223, 240692.84430036694 886827.4481994994, 240690.27199900895 886845.1122014076, 240688.21369948983 886867.9211989716, 240686.32750005275 886892.6171007715, 240684.95539913327 886911.9957010187, 240684.61229983717 886931.2033987194, 240684.44079852104 886953.4985004701, 240685.12690044194 886979.9090006053, 240685.94249997288 887010.5659996755, 240686.87640154362 887021.3026010506, 240708.49969990551 887159.4996006824, 240710.3904992044 887172.4997985661, 240711.5153992325 887179.6247995198, 240723.12500009686 887254.0623995177, 240723.4059997946 887255.4996000864, 240725.85900118202 887268.4998010844, 240745.93710061908 887381.5622006021, 240761.03089994937 887461.1873987094, 240771.59339915216 887519.3122003451, 240784.3438015133 887588.3124004751, 240792.4841011986 887632.1248012185, 240801.2499998957 887679.3122014292, 240818.4839013219 887771.6872998103, 240834.26529947668 887857.3745986558, 240863.93719980866 888017.2495990656, 240906.93710085005 888252.2500009984, 240926.35159868002 888357.556099847, 240936.1548005715 888424.3106008098, 240947.59140010923 888502.9687004276, 240964.8637001887 888635.7768996097, 240970.46550043672 888683.6253005601, 240971.6983988285 888704.8256991617, 240971.86579924822 888724.938598454, 240971.0123000294 888742.3835006878, 240968.78310108185 888762.1056992002, 240966.4975001216 888777.6883992031, 240959.96230038255 888805.463899333, 240954.377399534 888824.7022991143, 240948.9922010079 888839.3076000698, 240943.6233997941 888854.0123015568, 240917.56979851425 888917.7500990219, 240911.15999863297 888933.4310987107, 240901.3849010691 888956.4117004946, 240867.77109953016 889027.9259007722, 240838.10219924152 889091.037001498, 240831.5854987204 889104.7566011325, 240759.55680075288 889264.4207005203, 240750.4672999084 889283.2852989249, 240743.0929992795 889299.4056986049, 240734.86099874973 889314.8403986581, 240724.57140037417 889332.3334013447, 240713.0809996873 889348.2826988883, 240608.8107008934 889478.7915006578, 240194.1312007904 889996.5412987098, 240110.6121988073 890101.1541011594, 240028.80790118873 890203.8812998086, 239889.16810008883 890380.788101159, 239702.4416995272 890615.7724987157, 239639.68120131642 890700.3652004413, 239501.28299934417 890871.5190986395, 239398.55639945716 890996.0257007033, 239331.07790000737 891079.9998014383, 239244.3804012537 891186.901900325, 239108.89029941708 891358.8749999776, 239002.4372991994 891493.6246997751, 238882.30010107905 891641.5552984737, 238813.9143012613 891726.1884009615, 238765.41409927607 891788.2689002492, 238703.5763008222 891866.5966990851, 238658.470598571 891924.5545992628, 238644.64819919318 891946.137400195, 238634.70560142398 891963.8398007601, 238624.03549991548 891984.2103012949, 238611.1827998981 892012.8254012838, 238597.84520030767 892048.2308011763, 238585.47789882869 892088.4862009957, 238571.8976015225 892134.3189984448, 238565.59279995412 892157.5990991369, 238535.22199919075 892255.2041984983, 238528.20910060406 892274.878798645, 238522.7209994197 892290.6566011123, 238516.03270091116 892307.4634987637, 238509.00139978528 892324.9559993632, 238498.1972008124 892347.9366011508, 238484.35430011153 892374.6384015344, 238472.52830023319 892395.5767986253, 238459.03449891508 892417.008100599, 238437.6032000631 892447.4881003611, 238401.7255993113 892492.8907006457, 238322.8484998122 892582.9472007304, 238273.36469911784 892642.7401000671, 238268.57379874587 892648.4835010096)"
GISDATA.MBTA_ARC.51,SILVER,SL4 SL5,3,"LINESTRING (235875.29829979688 899634.7054011934, 235889.98640126735 899704.4593008421, 235891.03359960765 899710.3690013587, 235893.57710119337 899725.1058987118, 235896.56929915398 899743.3588005863, 235905.69580154866 899794.7509985343, 235918.5625007227 899864.5457012355, 235932.7469009012 899934.7681998201, 235948.59250055254 899993.5006002188)"
GISDATA.MBTA_ARC.38,BLUE,Bowdoin to Wonderland,1,"MULTILINESTRING ((239100.63160101324 903231.950598836, 239100.8524003029 903232.2052000389, 239106.5366985649 903238.0731993616, 239120.1061994657 903250.9089999832, 239130.0078008324 903258.9770990983, 239147.24430000037 903272.3628989384, 239166.4979993701 903284.0983986147, 239190.33569918573 903297.3007998914, 239355.36660080403 903381.0999003053, 239371.86989865452 903389.3518002778, 239389.10640095174 903396.5029003434, 239401.2085012868 903400.9034991041, 239410.92729973793 903403.654000409, 239419.72909913212 903405.8545991667, 239430.73100144416 903408.4216987938, 239442.2831992358 903410.2557000145, 239456.21879870445 903412.2725010365, 239470.70539845526 903413.7393995151, 239493.07619978487 903414.839700453, 239646.55480069667 903413.0062013194, 239657.73999866098 903413.1895000897, 239676.07679876685 903414.473099798, 239692.58009974658 903416.6730997972, 239711.8337991163 903419.7907007262, 239729.43689894676 903424.1912994869, 239751.2394014299 903431.1151012182, 239770.72609983385 903438.3405006379, 239790.21330031753 903447.3174001463, 239807.5106984526 903456.9516984783, 239825.24639885128 903468.5561007261, 239840.7918010503 903479.7228992693, 239853.92919935286 903489.7949011028, 239868.16120101511 903503.1509999111, 239885.67779862136 903521.1053010151, 240176.9156987816 903816.4150989689, 240251.97389876842 903893.1849003658, 240268.35479993373 903908.8321012519, 240278.92140001804 903917.8525013588, 240292.49659850448 903928.8001004271, 240302.3388009295 903936.4596014321, 240315.78599870205 903945.50559856, 240327.52150150388 903952.8405992761, 240344.14670019597 903961.8865995258, 240792.4841011986 904162.3121015131, 240831.0156000629 904180.062100444, 240889.00630110502 904206.5580986328), (240889.00630110502 904206.7414005175, 241024.52500000596 904266.9878985845, 241059.51249916106 904282.4928002246, 241102.04540108144 904302.3062006123, 241128.3314993009 904316.1756993867, 241147.61699848622 904326.7429013513, 241193.84849890321 904355.6709006391, 241218.57809970528 904373.3123991229, 241247.6807001382 904397.0670988373, 241270.59319911897 904416.8287999667, 241284.75000017136 904429.5622000173, 241298.3686992526 904442.0181991719, 241313.91870129853 904457.6448987387, 241334.92090071738 904479.1755014472, 241345.81830056012 904490.7610988654, 241356.14379962534 904502.4408015236, 241365.2846005559 904512.9357997961, 241375.2332015261 904525.224298738, 241388.98249907047 904543.0659985095, 241413.69620152563 904578.443599686, 241428.25339891762 904600.4489012063, 241434.8550985232 904610.9434005134, 241440.77949986607 904620.9304001443, 241450.08920123428 904637.3496999666, 241462.9536987096 904661.2165987231, 241470.99979960173 904677.7030002959, 241499.9215992242 904734.9375007525, 241565.87029912323 904874.1595009156, 241588.39060042053 904920.4370996766, 241710.31219928712 905172.437399827, 241763.24019999057 905283.286398951, 241801.15679956973 905360.6434006989, 241808.9433002323 905377.062800318, 241816.89880113304 905394.8357985243, 241822.82309956104 905408.2082010917, 241828.91700011492 905423.1044000052, 241833.65650060773 905435.7994013987, 241838.9039997384 905450.1875985451, 241843.5120005086 905464.4488989487, 241848.2137011066 905479.3019995578, 241855.3233993575 905505.0310007483, 241859.89350043982 905523.6508993357, 241863.10990002006 905541.5934996568, 241866.592498675 905563.1246013343, 241868.3572993651 905575.7863995694, 241869.0341984555 905586.1118986383, 241870.72690147907 905610.1481999233, 241871.91159962863 905629.1065012738, 241871.91159962863 905640.9557998069, 241871.74269918352 905650.9423004724, 241871.57319997996 905665.1611013301, 241870.2189995125 905692.4137990735, 241869.0341984555 905709.3410008699, 241822.99259877205 906103.2338991053, 241814.62500074506 906166.7290986516, 241806.9116985947 906231.710101299, 241779.87909845263 906456.1227001548, 241767.03250142932 906566.4623004086, 241762.95189978182 906602.6606997326, 241759.28899928182 906639.7730013914, 241757.82419957966 906667.1189997904, 241757.82419957966 906696.661901474, 241758.54510135204 906717.6339008957, 241759.69199959934 906746.5378000624, 241761.75690107793 906781.8647997119, 241764.76539967954 906815.4371994361, 241769.78560048342 906860.3181013055, 241774.8322995752 906896.3331987411, 241780.56729914993 906925.925198812, 241786.53149937838 906954.370400425, 241792.95459986478 906979.8331994228, 241800.75389903784 907005.2965005115, 241808.78259845078 907030.071198605, 241820.25240113586 907061.2689005099, 241840.8215000257 907115.5085990168))"
GISDATA.MBTA_ARC.39,GREEN,E - Health Street,2,"LINESTRING (232588.668701306 898268.3676991165, 232589.01119872183 898268.5233987533, 232628.09769894928 898290.0641991086, 232644.08029943705 898298.9239005446, 232654.32959996164 898304.6567015499, 232673.09129882604 898315.9484009705, 232688.72570119798 898324.2868000492, 232705.57670132816 898333.8413010277, 232724.5120002851 898342.8749986142, 232759.3120997846 898358.8119997308, 232844.03020135313 898397.770100072, 232865.74510076642 898407.4981013499, 232891.97689887136 898421.2216989547, 232912.12819993496 898431.2973993868, 232928.6315009147 898440.1570010297, 232968.62489922345 898465.5624998696, 232985.10919889808 898475.499899026, 233029.73559936136 898497.1370000765, 233073.33910118788 898519.720299121, 233348.1623013839 898667.0339995548, 233529.3509004861 898765.5324999318, 233575.9074999541 898790.8954992257, 233620.57799977064 898812.1245011277, 233705.69490098953 898858.1206012294, 233716.09830132872 898866.8107005544, 233742.67719982564 898881.7504000627, 233864.28080057353 898947.9371011443, 233936.95310091972 898987.4998999983, 233995.97560092062 899018.1489997916)"
GISDATA.MBTA_ARC.40,ORANGE,Forest Hills to Oak Grove,7,"LINESTRING (234299.91769906878 899063.6823014542, 234302.56250037998 899066.4374992885, 234320.15590153635 899081.9372989871, 234341.09360006452 899098.312000487, 234873.66980085522 899684.0896984488, 234898.8745994419 899711.8125013895, 234910.45040150732 899724.7184006795, 234921.3385985121 899735.3700996451, 234931.99020081013 899744.83799861, 234941.45809976757 899751.4653014764, 234952.8193988949 899755.4890988134, 234965.12790019065 899758.566298984, 234981.46019881964 899759.5135011487, 235136.01760142297 899767.0901985243)"
GISDATA.MBTA_ARC.41,RED,Mattapan Trolley,3,"LINESTRING (233827.89060132205 890906.6872988157, 233847.84300153702 890908.2459012531, 233865.9529991597 890909.2499014959, 233889.54650124162 890909.2499014959, 233900.00000102073 890908.4834003486, 233912.1656011939 890907.5540986359, 233923.53150016814 890905.6151988879, 233936.78769948334 890903.127400767, 233950.06740015745 890899.6694011986, 233968.60330070555 890894.4125994407, 233996.34349889308 890886.7494996376, 234026.65490071476 890877.8597011119, 234055.43750092387 890869.3747989871, 234083.0922010541 890861.2600994408, 234112.82810018957 890854.5620991401, 234134.70280012488 890851.9995993711, 234152.31249880046 890851.1246008947, 234174.18719873577 890851.1246008947, 234191.37449973077 890851.9995993711, 234216.0934008062 890855.6869991682, 234229.16630134732 890859.0473009273, 234246.2031013146 890863.9373991191, 234277.74999926984 890873.9373001717, 234313.10920102894 890886.1874004602, 234410.2653015107 890918.3748009577, 234453.87490009516 890932.9371002838, 234499.6093011871 890948.624698814, 234570.62469940633 890973.1249991804, 234690.2340992391 891013.312399108, 234836.96870129555 891062.3123012818, 234868.49970091134 891072.5620009787, 234919.06220038235 891090.2496009246, 234961.10919855535 891103.9374007434, 234985.2653985694 891111.062398579, 235006.14060144871 891116.1875010282, 235046.4841999784 891124.1244995967, 235074.80959953368 891128.6935996264, 235120.5501004979 891136.440198496, 235225.45169900358 891152.7846999988, 235327.4375007972 891168.8748996779, 235356.40600064397 891173.7495984882, 235388.16790051013 891178.1231002025, 235420.13719926775 891180.3973995559, 235678.5948009938 891184.5783996731, 235708.84220089763 891186.0534999259, 235732.94199889153 891190.7259984612, 235754.33649890125 891195.3985001147, 235777.07339880615 891202.216299355, 235811.34050139785 891216.1984992586, 235853.19500108808 891234.7451993339, 235871.60339989513 891243.3759995103, 235887.55530142784 891250.8593993448, 235908.03429928422 891262.7791988477, 235931.8663015142 891278.2340010479, 235957.66499909014 891298.715499986, 236046.48469948024 891378.8516998999, 236082.2653009817 891409.4370004795, 236120.729298912 891445.4336984977, 236178.62880120426 891499.1978000477, 236224.12100043148 891540.9482993558, 236300.26979955286 891610.9965990894, 236329.0886996314 891636.984701544, 236335.92749916017 891645.4245001413, 236347.9774012789 891659.9335004017, 236355.60110137612 891670.7536008433, 236362.97849871963 891683.0497994721, 236370.11020142585 891696.0833003074, 236377.7332996428 891714.5271008424, 236382.1601004228 891728.789901264, 236386.09429882467 891742.0695988201, 236390.27529893816 891766.169399932, 236391.25880098343 891785.3504995555, 236391.25880098343 891798.6302002259, 236389.78330155462 891813.6307986975, 236387.0783996284 891834.2879996262, 236383.88140051812 891851.5018986985, 236379.2088988647 891870.9293010719, 236328.8921002671 892046.0926013999, 236322.19619874656 892069.5283986144, 236304.2045000419 892123.4849986434, 236295.59730102122 892147.5848995522, 236287.72829923034 892167.5037005506, 236280.59669943154 892184.2262009941, 236271.5829012841 892201.870200552, 236254.05560082942 892238.1064995639, 236238.3009005487 892269.2228011861, 236198.70639855415 892346.776399184, 236169.70360095054 892404.4306995682, 236104.29669849575 892536.2496991269, 236086.95319889486 892571.874700781, 236065.85370084643 892613.7556987591, 236051.1597988829 892643.8275993764, 236048.42570112646 892648.2696997412, 236043.64159919322 892654.7628988996, 236007.5383997187 892693.0226008967)"
GISDATA.MBTA_ARC.42,RED,A - Ashmont  C - Alewife,1,"LINESTRING (235772.07480017096 894192.2638984732, 235772.09209874272 894192.3192994408, 235785.14709883183 894222.3922011107, 235798.6684992835 894249.201999858, 235813.35569948703 894276.2448007576, 235832.47179926187 894303.7535997257, 235854.85229926556 894331.9617014155, 235870.47139893472 894348.2806994505, 235897.9806002006 894373.9247015566, 235919.42829948664 894391.4090003818, 235936.4462010637 894403.7651000395, 235959.991998747 894418.6848003156, 235979.3414998427 894429.175700821, 235997.05929978937 894437.8012992591, 236022.46980077773 894448.5251987986, 236055.10779996216 894460.1814000942, 236173.5360006541 894501.911401201, 236195.68299954385 894509.3711998835, 236213.1678004563 894514.033500772, 236232.05090118945 894516.8311014734, 236248.13640122116 894518.229900267, 236280.54140137136 894519.8621003889, 236320.87209848315 894521.0274011791, 236408.99960020185 894522.374500718, 236442.91499943286 894524.4562984742, 236457.1092012003 894525.8761006705, 236473.96480117738 894529.0694011822, 236490.82030136883 894533.3277006969, 236509.37470113486 894540.0621006638, 236524.21859891713 894546.8122991845, 236536.23420014232 894552.8124001101, 236550.01520082355 894561.6248992421, 236561.43640097976 894570.4097992368, 236570.1562013328 894577.8747996539, 236583.13949981332 894589.8454002701, 236593.2690013945 894601.317700915, 236601.0794992745 894611.9350989945, 236606.32750049233 894620.9661988318, 236612.18580114096 894632.3162992597, 236616.41650152206 894641.9981990755, 236619.50839939713 894651.2735995576, 236621.4606995359 894659.0841005482, 236623.08829980344 894669.8244005218, 236624.38979995996 894681.7028013282, 236625.0405999422 894695.5344004147, 236623.73909977823 894787.3104011901, 236622.59990121424 894808.1391003095, 236623.08829980344 894825.7135001644, 236624.2269993946 894845.7285987362, 236627.64409922808 894872.2522989698, 236631.54970056564 894896.3356996514, 236636.43160009384 894921.557899721, 236657.9109994024 895036.2776005305, 236681.83110054582 895159.6225006059, 236702.17190004885 895268.9729012325, 236723.81409992278 895393.6187993847, 236728.37040144205 895419.3294011578, 236737.15730042756 895467.8208992779, 236741.06289864331 895490.1144012101, 236744.96790121496 895506.2240013666, 236755.7081013918 895544.9521993883, 236758.96240065992 895556.0174986161, 236772.79409953952 895601.5798994265, 236794.11070139706 895666.5065988377, 236808.26749932766 895705.7231985629, 236821.7735003978 895740.5459012799, 236830.58810142428 895763.4813995399, 236840.32430136204 895794.4073014632, 236877.9133008197 895916.450099498, 236893.5349015668 895971.9391997345, 236898.90480050445 895995.5336997472, 236902.9726005271 896017.5015007555, 236911.4345002547 896069.0849996619, 236914.68869972974 896096.2598990425, 236916.96709997207 896127.665498808, 236917.78070051968 896158.5830991641, 236918.10629853606 896181.038999375, 236917.94350108504 896203.4947997928, 236909.31890058517 896441.722201243, 236907.98100075126 896535.1100006141, 236906.3087990433 896574.4233999997, 236902.4493989721 896618.9377012104, 236884.8289007768 896747.7240989245, 236878.1574985534 896813.1388008632, 236871.01509922743 896920.2163990363, 236869.24460095912 896931.5018987879, 236865.9841986969 896949.4998002835, 236862.7964990884 896959.874899827, 236858.890498586 896972.3123997711, 236844.58349901438 897008.6360991485, 236839.10659964383 897022.5268009156)"
GISDATA.MBTA_ARC.43,SILVER,SL4 SL5,3,"LINESTRING (234515.6873011142 898108.0047990866, 234509.45730099082 898090.5386003032, 234495.10870001465 898064.4363996089, 234470.3802998513 898027.4964007288, 234450.84179928154 898001.6994994357, 234390.089298442 897927.3615993485, 234363.98710086942 897895.3063004501, 234354.6757996902 897885.3844004683, 234340.32719871402 897874.2412997559, 234287.0781000629 897845.4374996759, 234271.29690149426 897832.3125007078, 234260.37499924004 897817.1875003241, 234249.82809901237 897798.4374991246, 234252.86190149188 897790.897401005, 234260.15619894862 897785.8124997318, 234266.84369910508 897783.8750002086, 234274.9686992094 897781.0000003166, 234285.96869920194 897779.0625007972, 234307.95310023427 897774.3125001602, 234309.29690034688 897774.1250007078)"
GISDATA.MBTA_ARC.44,SILVER,SL4 SL5,3,"LINESTRING (234547.75959920883 898153.2265985608, 234567.83380046487 898193.7720013149, 234577.34170100838 898209.090298526, 234588.11739959568 898223.774801191, 234627.099899441 898265.0815002397, 234674.7452986464 898319.5937004015, 234732.62690048665 898382.5730987005)"
GISDATA.MBTA_ARC.45,SILVER,SL4 SL5,3,"LINESTRING (234309.29690034688 897774.1250007078, 234323.2500011027 897771.9374998398, 234331.39060017467 897772.8750002123, 234338.5468988493 897774.8124997355, 234341.421898745 897777.6874996275, 234344.7656004876 897781.9375006892, 234351.43749856204 897821.5000001602, 234363.41310132295 897882.334100876, 234369.11780110747 897892.3702986836, 234395.10619982332 897923.9578001089, 234455.11189937592 897998.542299211, 234477.71960104257 898023.4742000848, 234501.0669001639 898060.1326005124, 234518.92069989443 898087.8113009781, 234547.75959920883 898153.2265985608)"
GISDATA.MBTA_ARC.46,SILVER,SL4 SL5,3,"LINESTRING (234732.62690048665 898382.5730987005, 234786.41069877148 898442.0347991101, 234813.5611986518 898472.8827997558, 234843.02159920335 898503.8271011002)"
GISDATA.MBTA_ARC.47,SILVER,SL4 SL5,3,"LINESTRING (234843.02159920335 898503.8271011002, 234921.84610131383 898580.745098915, 234990.70689932257 898649.5576998033)"
GISDATA.MBTA_ARC.48,SILVER,SL4 SL5,3,"LINESTRING (234990.70689932257 898649.5576998033, 235031.18739890307 898688.7131011821, 235087.70680120587 898741.0066992156, 235125.36109989136 898776.3933005147)"
GISDATA.MBTA_ARC.49,SILVER,SL4 SL5,3,"LINESTRING (235125.36109989136 898776.3933005147, 235235.18550077826 898875.7025011852, 235290.33149860054 898925.3550994135, 235350.654098548 898978.2826011442, 235379.0722997859 899003.5314990841, 235386.57300131768 899010.3983998299, 235403.37039987743 899023.7095011398, 235415.41379982233 899034.8021001182, 235430.28780093044 899048.742299445, 235446.57659896463 899058.0811997578, 235498.04929905385 899083.0573995747)"
GISDATA.MBTA_ARC.50,SILVER,SL4 SL5,3,"LINESTRING (235498.04929905385 899083.0573995747, 235540.39040105045 899105.055200994, 235578.52779991925 899128.7194005065, 235610.52650032192 899160.2268987559, 235629.167901285 899179.9647991434, 235680.34010141343 899234.7922000885, 235729.68479937315 899289.2541012205, 235743.21869895607 899311.1249996535, 235755.3905985877 899328.0624988861, 235762.82809966803 899344.2500003166, 235778.43410144 899384.2920011617)"
GISDATA.MBTA_ARC.52,SILVER,SL4 SL5,3,"LINESTRING (235778.43410144 899384.2920011617, 235808.00439955294 899450.2961987071, 235820.93749880046 899479.31249962, 235858.54689978808 899566.0624990948, 235875.29829979688 899634.7054011934)"
