FID,line,route,grade,shape
GISDATA.MBTA_ARC.12,SILVER,SL4,3,"LINESTRING (236409.42950110137 900301.1195013449, 236394.30379904807 900293.0738994181, 236373.35299950093 900279.7783003971, 236349.179098621 900255.2013991922, 236335.4805990681 900236.6680995077, 236322.9907013178 900217.7318992913, 236315.7386009097 900204.033299949, 236303.6516005695 900175.02459893, 236296.80230090022 900148.4333010986, 236279.47769968957 900088.4014993235, 236271.41970153898 900058.1840998307, 236231.47669893503 900068.7648986578, 236178.4779010117 900089.5178015195, 236124.20140054822 900108.993301224, 236087.0056996122 900120.9945010096, 236071.96920043975 900125.747298982, 236067.05250105262 900127.0780012086, 236053.71909902245 900130.6876993179, 236012.2584997341 900141.2918997109, 236002.0418004915 900143.1997013204, 235995.66180143505 900139.4190008678, 235991.64479940385 900135.4018990472, 235987.18370085955 900126.3765997067)"
GISDATA.MBTA_ARC.13,SILVER,SL4 SL5,3,"LINESTRING (235987.18370085955 900126.3765997067, 235973.689899534 900086.4245002978, 235939.1003985554 899996.7103011645)"
GISDATA.MBTA_ARC.14,SILVER,SL4 SL5,3,"MULTILINESTRING ((235886.70110052824 899744.9764994681, 235883.71560120583 899726.7651989944, 235881.18319851905 899712.0919012651, 235880.1409992054 899706.211000517, 235865.7421990037 899637.7459989898), (235908.72820068896 899866.3585992567, 235895.8498007357 899796.4994985834, 235886.7234012559 899745.1072008424), (235939.1003985554 899996.7103011645, 235922.5984011367 899935.2664997876, 235908.7591990307 899866.5191014558))"
GISDATA.MBTA_ARC.15,SILVER,SL4 SL5,3,"MULTILINESTRING ((235798.83960141987 899454.2969998866, 235767.57490067184 899388.8527996242), (235849.03360103816 899569.2597009093, 235811.80369900912 899483.3835990615, 235811.7625996992 899483.290198613, 235798.8705997616 899454.3672014736), (235849.03360103816 899569.2597009093, 235848.8393998295 899568.4634987302), (235849.37200067937 899570.0402012058, 235849.03360103816 899569.2597009093), (235865.7421990037 899637.7459989898, 235849.03360103816 899569.2597009093))"
GISDATA.MBTA_ARC.16,SILVER,SL4 SL5,3,"MULTILINESTRING ((235767.57490067184 899388.8527996242, 235748.3203998357 899350.3140002489, 235743.74109904468 899340.0868008621, 235732.90330085903 899317.800699234, 235717.63879855722 899292.309100464, 235672.9295009151 899241.5066008233), (235673.02959999442 899241.6154006496, 235672.9295009151 899241.5066008233), (235672.9295009151 899241.5066008233, 235621.87749889493 899186.8095987551, 235603.381001167 899167.2250996344), (235603.5103989914 899167.3524984717, 235603.381001167 899167.2250996344), (235603.381001167 899167.2250996344, 235603.25639966875 899167.0932007395), (235603.381001167 899167.2250996344, 235571.5115987882 899135.8449004255, 235535.32409878075 899113.6786008589), (235535.86510100216 899113.9727015607, 235535.32409878075 899113.6786008589), (235535.32409878075 899113.6786008589, 235535.11790053546 899113.5522997491), (235535.32409878075 899113.6786008589, 235465.47010005265 899075.7065005153))"
GISDATA.MBTA_ARC.17,SILVER,SL4 SL5,3,"MULTILINESTRING ((235465.47010005265 899075.7065005153, 235446.38949868828 899065.1739986092, 235423.79810077697 899052.3519008793, 235410.36540112644 899041.2088001706, 235396.86869955808 899031.3163985088, 235380.3621989563 899018.2358013988, 235370.67780118436 899012.6643009409, 235341.98059923947 898987.9359007739, 235282.29659952968 898935.1208007932, 235227.15599990636 898884.620400928), (235227.14759854227 898884.6128010303, 235114.936300084 898783.9946998879))"
GISDATA.MBTA_ARC.18,SILVER,SL4 SL5,3,"MULTILINESTRING ((235114.936300084 898783.9946998879, 235079.55719888955 898749.8149009869, 235079.54700124264 898749.8061004505), (235079.54700124264 898749.8061004505, 235079.52890120447 898749.7885991745), (235079.54700124264 898749.8061004505, 235060.0462007746 898733.0195014141, 235021.88500116765 898698.3692012653, 234951.39649997652 898628.9252008758))"
GISDATA.MBTA_ARC.19,SILVER,SL4 SL5,3,"LINESTRING (234951.39649997652 898628.9252008758, 234911.21780079603 898590.1441996358, 234834.33420054615 898512.0800988004)"
GISDATA.MBTA_ARC.20,SILVER,SL4 SL5,3,"LINESTRING (234834.33420054615 898512.0800988004, 234805.02720125765 898481.3190993443, 234775.82210046053 898451.3902994432, 234690.57999898493 898356.8584989496)"
GISDATA.MBTA_ARC.21,SILVER,SL4 SL5,3,"LINESTRING (234690.57999898493 898356.8584989496, 234664.69680129737 898328.2062009461, 234616.1558991745 898274.4752994329, 234578.8812990263 898231.4717995897, 234567.7675999701 898218.4546991885, 234556.47189945728 898201.9690990783, 234525.49890125543 898135.512400534, 234515.6873011142 898108.0047990866)"
