FID,acecid,name,des_date,secretary,admin_by,region,poly_acres,acec_acres,shape
GISDATA.ACECS_POLY.1,13,Rumney Marshes,8/22/88,JAMES S. HOYTE,DCR,COASTAL,2363.46,2785.77,"POLYGON ((241113.29421539605 910617.0008560009, 241130.09421540052 910647.2508560009, 241198.91421539336 910711.6808560006, 241216.10421539843 910736.3108559996, 241234.29421539605 910770.620856002, 241251.12421539426 910808.0008560009, 241259.01421539485 910846.5008560009, 241267.56421539932 910860.0608559996, 241277.66421539336 910887.120856002, 241293.99421539903 910919.4308560006, 241314.66421539336 910956.3108559996, 241331.56421539932 910991.8108559996, 241339.48421539366 911004.8108559996, 241358.57421539724 911029.5008560009, 241367.18421539664 911040.5608559996, 241381.38421539962 911033.3108559996, 241389.41421539336 911018.9308560006, 241395.49421539903 911006.3108559996, 241424.31421539932 911000.120856002, 241450.87421539426 911007.1808560006, 241471.15421539545 911010.3108559996, 241490.85421539843 911012.120856002, 241505.99421539903 911017.620856002, 241522.31421539932 911026.370856002, 241527.02421540022 911040.5008560009, 241534.87421539426 911056.6808560006, 241550.88421539962 911077.5008560009, 241575.43421539664 911111.9308560006, 241596.49421539903 911134.1808560006, 241616.85421539843 911158.9308560006, 241641.15421539545 911155.120856002, 241647.74421539903 911122.8108559996, 241654.07421539724 911100.6808560006, 241665.52421540022 911076.8108559996, 241684.41421539336 911060.7508560009, 241699.63421539962 911039.5008560009, 241705.90421539545 911019.3108559996, 241717.51421539485 910990.3108559996, 241722.76421539485 910959.870856002, 241719.84421540052 910926.620856002, 241719.01421539485 910910.0608559996, 241715.77421540022 910887.6808560006, 241712.81421539932 910855.7508560009, 241711.43421539664 910835.9308560006, 241730.82421539724 910848.5608559996, 241741.32421539724 910837.370856002, 241728.45421539992 910818.5608559996, 241749.34421540052 910822.9308560006, 241762.96421539783 910838.0008560009, 241775.48421539366 910846.0008560009, 241790.57421539724 910853.370856002, 241822.81421539932 910862.5608559996, 241843.60421539843 910870.7508560009, 241856.84421540052 910875.620856002, 241872.56421539932 910883.0608559996, 241889.24421539903 910878.370856002, 241902.79421539605 910871.7508560009, 241918.18421539664 910867.6808560006, 241937.93421539664 910867.620856002, 241950.88421539962 910883.2508560009, 241962.74421539903 910892.5008560009, 241985.81421539932 910911.0008560009, 241998.04421539605 910929.8108559996, 242011.66421539336 910944.8108559996, 242031.48421539366 910965.7508560009, 242047.49421539903 910985.9308560006, 242055.31421539932 911003.370856002, 242051.49421539903 911026.8108559996, 242054.21421539783 911044.120856002, 242066.31421539932 911068.0008560009, 242062.43421539664 911094.6808560006, 242060.60421539843 911115.6808560006, 242057.57421539724 911133.4308560006, 242059.09421540052 911148.120856002, 242053.27421540022 911174.7508560009, 242049.60421539843 911193.0608559996, 242040.29421539605 911208.120856002, 242031.01421539485 911221.870856002, 242031.73421539366 911242.9308560006, 242044.51421539485 911264.9308560006, 242062.73421539366 911274.370856002, 242077.43421539664 911272.2508560009, 242094.51421539485 911277.1808560006, 242110.35421539843 911279.5008560009, 242128.85421539843 911278.7508560009, 242153.23421539366 911271.7508560009, 242179.71421539783 911281.4308560006, 242194.98421539366 911306.0608559996, 242213.26421539485 911337.120856002, 242223.35421539843 911364.1808560006, 242233.35421539843 911395.0008560009, 242237.93421539664 911414.870856002, 242240.57421539724 911434.7508560009, 242249.21421539783 911469.370856002, 242253.77421540022 911489.2508560009, 242251.95421539992 911510.1808560006, 242236.07421539724 911532.0608559996, 242205.24421539903 911542.0608559996, 242186.65421539545 911547.3108559996, 242174.23421539366 911559.0608559996, 242163.71421539783 911571.5008560009, 242156.59421540052 911600.0008560009, 242141.38421539962 911620.620856002, 242126.10421539843 911620.1808560006, 242100.29421539605 911609.3108559996, 242096.06421539932 911624.4308560006, 242095.66421539336 911639.7508560009, 242092.01421539485 911657.5008560009, 242089.63421539962 911674.0008560009, 242085.10421539843 911701.2508560009, 242088.23421539366 911727.4308560006, 242090.68421539664 911754.3108559996, 242091.99421539903 911776.620856002, 242092.21421539783 911793.1808560006, 242094.40421539545 911830.1808560006, 242097.56421539932 911855.120856002, 242095.15421539545 911874.1808560006, 242091.34421540052 911897.6808560006, 242093.24421539903 911921.3108559996, 242090.70421539992 911944.8108559996, 242093.35421539843 911965.2508560009, 242104.12421539426 911991.0608559996, 242116.77421540022 912018.1808560006, 242105.46421539783 912036.3108559996, 242080.01421539485 912035.620856002, 242060.63421539962 912045.3108559996, 242044.24421539903 912063.3108559996, 242032.51421539485 912073.870856002, 242023.66421539336 912094.620856002, 242017.45421539992 912112.9308560006, 242024.49421539903 912135.4308560006, 242020.84421540052 912152.5008560009, 242020.46421539783 912167.1808560006, 242023.65421539545 912191.5008560009, 242029.91421539336 912219.0608559996, 242035.18421539664 912235.7508560009, 242039.13421539962 912255.0008560009, 242044.46421539783 912270.4308560006, 242067.24421539903 912275.5008560009, 242084.96421539783 912279.8108559996, 242114.40421539545 912274.2508560009, 242129.07421539724 912274.0008560009, 242144.63421539962 912287.1808560006, 242146.74421539903 912303.1808560006, 242126.18421539664 912310.2508560009, 242108.27421540022 912312.9308560006, 242082.76421539485 912314.8108559996, 242076.56421539932 912331.8108559996, 242081.77421540022 912351.0608559996, 242103.27421540022 912381.620856002, 242121.27421540022 912398.6808560006, 242128.51421539485 912414.1808560006, 242138.41421539336 912424.620856002, 242153.96421539783 912439.0608559996, 242169.71421539783 912445.2508560009, 242178.98421539366 912432.120856002, 242193.13421539962 912426.7508560009, 242208.54421539605 912422.120856002, 242225.26421539485 912415.5608559996, 242258.76421539485 912401.8108559996, 242281.49421539903 912384.5608559996, 242302.34421540052 912367.3108559996, 242319.85421539843 912355.0608559996, 242334.68421539664 912347.8108559996, 242353.41421539336 912338.120856002, 242369.52421540022 912330.9308560006, 242385.90421539545 912314.1808560006, 242401.31421539932 912309.5008560009, 242418.52421540022 912308.6808560006, 242432.32421539724 912316.7508560009, 242439.57421539724 912330.9308560006, 242446.23421539366 912344.5008560009, 242449.45421539992 912366.870856002, 242443.84421540052 912385.870856002, 242440.59421540052 912412.5008560009, 242441.02421540022 912443.7508560009, 242441.76421539485 912464.1808560006, 242458.70421539992 912450.0008560009, 242471.56421539932 912421.0008560009, 242479.59421540052 912407.2508560009, 242509.04421539605 912401.0008560009, 242523.60421539843 912404.0008560009, 242540.46421539783 912416.5608559996, 242556.09421540052 912427.8108559996, 242576.88421539962 912411.8108559996, 242579.96421539783 912392.120856002, 242580.43421539664 912374.3108559996, 242579.10421539843 912352.620856002, 242581.93421539664 912318.2508560009, 242585.12421539426 912294.120856002, 242595.57421539724 912284.2508560009, 242625.77421540022 912274.2508560009, 242647.68421539664 912264.620856002, 242674.51421539485 912261.5608559996, 242698.29421539605 912253.3108559996, 242714.95421539992 912249.3108559996, 242740.48421539366 912247.4308560006, 242755.20421539992 912244.6808560006, 242779.45421539992 912242.7508560009, 242794.24421539903 912236.8108559996, 242809.01421539485 912232.7508560009, 242826.88421539962 912231.3108559996, 242841.57421539724 912229.1808560006, 242873.57421539724 912223.0608559996, 242873.96421539783 912209.0608559996, 242870.65421539545 912189.8108559996, 242838.88421539962 912187.0608559996, 242801.79421539605 912193.0608559996, 242783.90421539545 912195.0608559996, 242759.01421539485 912196.9308560006, 242738.49421539903 912202.120856002, 242706.70421539992 912200.620856002, 242688.29421539605 912198.1808560006, 242671.24421539903 912192.620856002, 242654.82421539724 912187.7508560009, 242640.02421540022 912169.5008560009, 242639.13421539962 912155.4308560006, 242649.35421539843 912130.2508560009, 242649.79421539605 912113.6808560006, 242656.87421539426 912087.120856002, 242686.07421539724 912066.870856002, 242699.62421539426 912060.2508560009, 242722.65421539545 912056.4308560006, 242742.51421539485 912051.2508560009, 242760.48421539366 912046.620856002, 242786.91421539336 912034.0008560009, 242799.31421539932 911999.2508560009, 242814.09421540052 911970.370856002, 242822.96421539783 911948.3108559996, 242847.76421539485 911949.0008560009, 242841.02421540022 911963.4308560006, 242827.13421539962 912006.370856002, 242824.15421539545 912022.870856002, 242821.20421539992 912038.120856002, 242824.60421539843 912054.120856002, 242837.65421539545 912065.9308560006, 242858.45421539992 912074.1808560006, 242886.60421539843 912092.7508560009, 242899.77421540022 912100.8108559996, 242917.87421539426 912114.6808560006, 242938.06421539932 912121.5608559996, 242971.02421540022 912127.5608559996, 242983.31421539932 912120.3108559996, 242996.93421539664 912111.120856002, 243012.70421539992 912116.620856002, 243033.34421540052 912131.1808560006, 243055.37421539426 912140.120856002, 243078.71421539783 912149.0008560009, 243119.41421539336 912198.5608559996, 243131.09421540052 912214.1808560006, 243140.90421539545 912228.4308560006, 243150.07421539724 912242.6808560006, 243159.91421539336 912255.7508560009, 243173.37421539426 912277.120856002, 243187.76421539485 912285.8108559996, 243205.96421539783 912296.5008560009, 243227.95421539992 912307.9308560006, 243241.71421539783 912316.620856002, 243272.54421539605 912330.8108559996, 243273.26421539485 912304.0608559996, 243273.24421539903 912280.5008560009, 243261.18421539664 912255.3108559996, 243262.84421540052 912240.6808560006, 243262.96421539783 912212.6808560006, 243265.37421539426 912193.620856002, 243268.63421539962 912166.9308560006, 243267.18421539664 912149.6808560006, 243275.38421539962 912128.9308560006, 243299.24421539903 912141.0008560009, 243311.04421539605 912152.8108559996, 243331.71421539783 912166.120856002, 243352.31421539932 912181.370856002, 243381.10421539843 912200.0008560009, 243404.99421539903 912211.5008560009, 243418.81421539932 912218.870856002, 243433.87421539426 912227.5608559996, 243459.56421539932 912219.370856002, 243470.90421539545 912199.870856002, 243470.81421539932 912179.5008560009, 243447.21421539783 912157.1808560006, 243425.45421539992 912136.8108559996, 243413.71421539783 912123.120856002, 243410.32421539724 912107.120856002, 243400.66421539336 912087.120856002, 243397.88421539962 912072.370856002, 243386.45421539992 912047.870856002, 243377.24421539903 912034.1808560006, 243364.20421539992 912022.370856002, 243344.32421539724 912003.370856002, 243333.40421539545 911982.6808560006, 243323.02421540022 911965.8108559996, 243313.31421539932 911948.370856002, 243302.48421539366 911936.0008560009, 243316.93421539664 911907.6808560006, 243307.60421539843 911876.1808560006, 243286.79421539605 911843.7508560009, 243254.16421539336 911825.6808560006, 243236.23421539366 911805.4308560006, 243215.68421539664 911788.3108559996, 243201.41421539336 911773.870856002, 243192.85421539843 911760.2508560009, 243186.91421539336 911744.8108559996, 243175.79421539605 911731.7508560009, 243160.99421539903 911713.5008560009, 243131.26421539485 911682.7508560009, 243122.66421539336 911670.4308560006, 243106.51421539485 911655.3108559996, 243099.82421539724 911619.4308560006, 243095.10421539843 911605.9308560006, 243075.84421540052 911587.5608559996, 243041.49421539903 911586.0008560009, 243010.12421539426 911592.1808560006, 242985.10421539843 911599.120856002, 242962.70421539992 911603.620856002, 242937.79421539605 911606.7508560009, 242918.52421540022 911611.9308560006, 242901.76421539485 911619.7508560009, 242876.48421539366 911636.2508560009, 242856.29421539605 911630.0008560009, 242832.07421539724 911606.370856002, 242815.01421539485 911601.5008560009, 242799.63421539962 911581.3108559996, 242803.45421539992 911557.1808560006, 242814.06421539932 911541.5608559996, 242824.70421539992 911524.620856002, 242833.12421539426 911494.9308560006, 242840.66421539336 911474.7508560009, 242815.90421539545 911472.120856002, 242794.95421539992 911446.0608559996, 242782.24421539903 911420.870856002, 242783.90421539545 911406.9308560006, 242804.82421539724 911386.4308560006, 242818.73421539366 911366.4308560006, 242826.07421539724 911353.2508560009, 242844.54421539605 911330.1808560006, 242875.38421539962 911296.0008560009, 242913.85421539843 911285.5608559996, 242948.81421539932 911264.870856002, 242975.46421539783 911243.9308560006, 242992.26421539485 911235.5008560009, 243011.62421539426 911225.1808560006, 243025.15421539545 911219.8108559996, 243053.04421539605 911200.8108559996, 243084.77421540022 911180.6808560006, 243106.13421539962 911167.870856002, 243138.63421539962 911143.3108559996, 243176.43421539664 911110.5608559996, 243202.26421539485 911097.2508560009, 243233.45421539992 911073.870856002, 243273.60421539843 911048.870856002, 243298.96421539783 911029.1808560006, 243337.32421539724 910999.620856002, 243377.37421539426 910978.4308560006, 243409.46421539783 910969.120856002, 243429.96421539783 910964.5608559996, 243454.62421539426 910947.4308560006, 243470.85421539843 910935.7508560009, 243488.96421539783 910924.7508560009, 243509.99421539903 910948.3108559996, 243529.79421539605 910970.5008560009, 243550.13421539962 910995.2508560009, 243559.87421539426 911012.0608559996, 243584.06421539932 911036.370856002, 243598.18421539664 911056.5008560009, 243617.99421539903 911078.0608559996, 243636.27421540022 911084.2508560009, 243661.10421539843 911084.9308560006, 243676.01421539485 911074.5608559996, 243698.63421539962 911062.370856002, 243710.59421540052 911044.2508560009, 243736.90421539545 911012.5008560009, 243765.12421539426 910981.370856002, 243795.13421539962 910954.1808560006, 243827.38421539962 910914.9308560006, 243851.07421539724 910886.2508560009, 243881.45421539992 910869.2508560009, 243895.01421539485 910862.620856002, 243917.59421540052 910851.7508560009, 243916.43421539664 910799.5008560009, 243901.90421539545 910771.6808560006, 243895.91421539336 910733.3108559996, 243887.29421539605 910698.620856002, 243879.93421539664 910663.370856002, 243864.18421539664 910633.6808560006, 243856.48421539366 910611.8108559996, 243847.07421539724 910582.2508560009, 243845.18421539664 910557.9308560006, 243835.06421539932 910531.5608559996, 243826.96421539783 910477.1808560006, 243824.90421539545 910458.620856002, 243816.15421539545 910428.4308560006, 243808.38421539962 910409.120856002, 243804.04421539605 910381.0008560009, 243793.68421539664 910363.5008560009, 243786.38421539962 910350.5608559996, 243775.63421539962 910323.5008560009, 243758.93421539664 910305.1808560006, 243749.98421539366 910283.2508560009, 243738.35421539843 910265.120856002, 243723.84421540052 910236.0608559996, 243711.12421539426 910212.120856002, 243690.54421539605 910171.4308560006, 243680.37421539426 910146.9308560006, 243672.46421539783 910133.3108559996, 243658.38421539962 910111.9308560006, 243637.43421539664 910061.620856002, 243624.20421539992 910032.620856002, 243613.09421540052 910018.9308560006, 243583.02421540022 910023.8108559996, 243568.85421539843 910030.4308560006, 243549.66421539336 910033.120856002, 243526.73421539366 910033.7508560009, 243512.12421539426 910008.5008560009, 243502.43421539664 909989.7508560009, 243496.51421539485 909973.0608559996, 243489.63421539962 909944.8108559996, 243481.95421539992 909922.3108559996, 243476.04421539605 909904.3108559996, 243465.77421540022 909883.620856002, 243457.01421539485 909854.0608559996, 243438.31421539932 909815.3108559996, 243417.37421539426 909788.620856002, 243408.99421539903 909768.6808560006, 243382.76421539485 909725.2508560009, 243368.57421539724 909708.3108559996, 243347.76421539485 909675.870856002, 243323.82421539724 909642.7508560009, 243301.57421539724 909617.2508560009, 243291.06421539932 909605.5008560009, 243279.93421539664 909593.0608559996, 243271.31421539932 909582.0008560009, 243257.85421539843 909561.2508560009, 243248.02421540022 909547.620856002, 243233.40421539545 909523.0008560009, 243219.96421539783 909501.620856002, 243211.68421539664 909477.8108559996, 243210.26421539485 909459.3108559996, 243220.41421539336 909436.620856002, 243225.46421539783 909414.4308560006, 243232.18421539664 909401.870856002, 243247.38421539962 909380.6808560006, 243251.18421539664 909357.1808560006, 243233.06421539932 909345.1808560006, 243212.63421539962 909346.5608559996, 243175.57421539724 909327.0608559996, 243149.96421539783 909308.5608559996, 243113.06421539932 909283.3108559996, 243076.27421540022 909254.2508560009, 243026.24421539903 909219.120856002, 242985.02421540022 909165.120856002, 242975.90421539545 909148.9308560006, 242948.45421539992 909127.8108559996, 242922.95421539992 909105.4308560006, 242877.98421539366 909048.120856002, 242818.34421540052 908991.6808560006, 242783.10421539843 908976.0608559996, 242753.76421539485 908954.2508560009, 242695.52421540022 908892.7508560009, 242632.95421539992 908827.3108559996, 242575.23421539366 908770.9308560006, 242534.65421539545 908716.9308560006, 242520.84421540052 908709.5608559996, 242480.48421539366 908670.870856002, 242432.09421540052 908622.370856002, 242382.95421539992 908579.0008560009, 242354.04421539605 908539.9308560006, 242334.45421539992 908511.370856002, 242301.20421539992 908467.8108559996, 242280.62421539426 908427.7508560009, 242263.99421539903 908406.2508560009, 242208.74421539903 908328.870856002, 242202.12421539426 908314.6808560006, 242181.40421539545 908279.7508560009, 242174.32421539724 908258.5008560009, 242147.51421539485 908213.8108559996, 242129.43421539664 908175.0608559996, 242099.48421539366 908127.7508560009, 242056.74421539903 908059.0608559996, 242043.65421539545 908024.2508560009, 241997.15421539545 907952.870856002, 241982.02421540022 907923.1808560006, 241962.20421539992 907878.6808560006, 241946.41421539336 907849.5608559996, 241906.87421539426 907780.3108559996, 241890.40421539545 907801.5008560009, 241880.35421539843 907819.7508560009, 241865.98421539366 907833.370856002, 241821.27421540022 907837.870856002, 241786.31421539932 907836.2508560009, 241751.18421539664 907839.7508560009, 241704.06421539932 907863.9308560006, 241665.32421539724 907883.3108559996, 241639.95421539992 907903.620856002, 241593.77421540022 907915.7508560009, 241549.85421539843 907914.5008560009, 241505.31421539932 907938.120856002, 241477.59421540052 907950.120856002, 241439.35421539843 907975.1808560006, 241411.07421539724 907984.620856002, 241374.02421540022 907988.7508560009, 241341.51421539485 907990.370856002, 241310.26421539485 907992.0608559996, 241267.10421539843 907987.0608559996, 241235.35421539843 907983.0008560009, 241220.90421539545 907975.620856002, 241200.71421539783 907978.5008560009, 241178.12421539426 907978.5008560009, 241160.04421539605 907974.0008560009, 241134.62421539426 907964.7508560009, 241106.40421539545 907951.870856002, 241081.21421539783 907931.9308560006, 241055.01421539485 907926.6808560006, 241025.10421539843 907929.120856002, 240998.34421540052 907928.3108559996, 240974.79421539605 907929.370856002, 240936.02421540022 907933.870856002, 240905.65421539545 907945.1808560006, 240885.35421539843 907950.6808560006, 240869.10421539843 907969.4308560006, 240861.43421539664 908005.1808560006, 240861.77421540022 908025.5608559996, 240871.09421540052 908049.5608559996, 240876.12421539426 908083.2508560009, 240874.06421539932 908111.9308560006, 240875.56421539932 908125.9308560006, 240875.90421539545 908146.9308560006, 240845.26421539485 908142.370856002, 240829.74421539903 908129.2508560009, 240807.84421540052 908114.370856002, 240789.76421539485 908099.370856002, 240769.62421539426 908076.1808560006, 240746.65421539545 908073.4308560006, 240724.32421539724 908071.870856002, 240702.07421539724 908074.1808560006, 240685.57421539724 908077.6808560006, 240664.74421539903 908088.2508560009, 240636.21421539783 908097.0008560009, 240619.87421539426 908109.370856002, 240604.81421539932 908123.0008560009, 240595.51421539485 908138.4308560006, 240596.46421539783 908156.9308560006, 240603.84421540052 908179.0608559996, 240611.37421539426 908210.120856002, 240615.51421539485 908229.120856002, 240610.81421539932 908252.120856002, 240591.34421540052 908268.4308560006, 240566.63421539962 908276.5008560009, 240552.57421539724 908274.1808560006, 240533.29421539605 908263.6808560006, 240513.95421539992 908250.0608559996, 240509.15421539545 908267.9308560006, 240517.73421539366 908285.0008560009, 240529.63421539962 908310.870856002, 240538.16421539336 908326.0008560009, 240549.93421539664 908344.870856002, 240567.40421539545 908360.5008560009, 240584.70421539992 908367.1808560006, 240598.74421539903 908368.870856002, 240612.91421539336 908377.5608559996, 240632.91421539336 908393.7508560009, 240649.12421539426 908409.370856002, 240662.71421539783 908422.5008560009, 240677.65421539545 908439.4308560006, 240686.29421539605 908462.1808560006, 240696.73421539366 908476.620856002, 240705.40421539545 908499.4308560006, 240705.85421539843 908526.7508560009, 240708.16421539336 908549.6808560006, 240697.68421539664 908571.5008560009, 240674.40421539545 908588.4308560006, 240653.06421539932 908606.0008560009, 240634.15421539545 908618.4308560006, 240612.77421540022 908634.7508560009, 240594.77421540022 908663.0608559996, 240570.90421539545 908683.1808560006, 240553.24421539903 908693.0608559996, 240525.26421539485 908696.120856002, 240507.84421540052 908682.4308560006, 240490.48421539366 908672.5008560009, 240474.51421539485 908670.2508560009, 240439.54421539605 908674.0608559996, 240409.27421540022 908691.8108559996, 240389.24421539903 908712.5008560009, 240373.59421540052 908728.6808560006, 240367.79421539605 908763.1808560006, 240351.62421539426 908785.7508560009, 240334.74421539903 908805.120856002, 240315.38421539962 908827.7508560009, 240294.60421539843 908842.7508560009, 240270.06421539932 908859.120856002, 240239.04421539605 908871.120856002, 240216.26421539485 908879.1808560006, 240192.15421539545 908885.9308560006, 240173.12421539426 908890.7508560009, 240154.15421539545 908898.6808560006, 240137.24421539903 908916.8108559996, 240131.15421539545 908932.870856002, 240137.24421539903 908954.370856002, 240155.70421539992 908952.8108559996, 240205.18421539664 908941.120856002, 240219.76421539485 908936.370856002, 240238.06421539932 908927.1808560006, 240259.54421539605 908915.3108559996, 240273.41421539336 908908.6808560006, 240289.23421539366 908901.4308560006, 240305.65421539545 908893.5008560009, 240320.21421539783 908887.5008560009, 240338.54421539605 908878.9308560006, 240358.74421539903 908868.370856002, 240380.84421540052 908857.8108559996, 240418.60421539843 908830.370856002, 240449.45421539992 908808.2508560009, 240466.46421539783 908797.120856002, 240496.32421539724 908792.7508560009, 240486.46421539783 908812.6808560006, 240481.63421539962 908828.6808560006, 240478.74421539903 908846.5608559996, 240486.23421539366 908874.4308560006, 240480.76421539485 908889.8108559996, 240477.43421539664 908919.7508560009, 240495.48421539366 908932.8108559996, 240503.34421540052 908944.8108559996, 240514.41421539336 908960.5008560009, 240527.52421540022 908981.9308560006, 240520.90421539545 909004.9308560006, 240503.18421539664 909011.620856002, 240485.35421539843 909011.9308560006, 240461.15421539545 909013.0008560009, 240431.40421539545 909023.0608559996, 240413.70421539992 909031.6808560006, 240381.60421539843 909054.5008560009, 240359.37421539426 909058.0608559996, 240314.37421539426 909071.620856002, 240291.56421539932 909077.7508560009, 240267.51421539485 909087.6808560006, 240235.31421539932 909103.5608559996, 240209.37421539426 909114.1808560006, 240174.99421539903 909115.4308560006, 240136.81421539932 909117.370856002, 240107.57421539724 909121.0608559996, 240087.79421539605 909119.5008560009, 240064.16421539336 909116.120856002, 240022.10421539843 909114.3108559996, 239984.43421539664 909108.620856002, 239954.35421539843 909099.5608559996, 239921.07421539724 909090.620856002, 239891.65421539545 909084.120856002, 239855.38421539962 909085.370856002, 239824.96421539783 909094.1808560006, 239806.01421539485 909104.0608559996, 239784.60421539843 909118.5008560009, 239767.66421539336 909134.0608559996, 239760.29421539605 909149.4308560006, 239745.48421539366 909179.0008560009, 239736.21421539783 909195.0608559996, 239719.06421539932 909236.120856002, 239702.57421539724 909277.8108559996, 239686.56421539932 909311.1808560006, 239674.54421539605 909353.370856002, 239666.18421539664 909386.620856002, 239645.34421540052 909435.370856002, 239631.21421539783 909466.870856002, 239608.96421539783 909507.370856002, 239576.41421539336 909540.370856002, 239553.85421539843 909563.6808560006, 239528.10421539843 909584.5008560009, 239504.91421539336 909607.1808560006, 239492.41421539336 909622.0608559996, 239474.93421539664 909642.7508560009, 239462.59421540052 909665.870856002, 239463.93421539664 909707.870856002, 239472.57421539724 909728.7508560009, 239483.54421539605 909737.4308560006, 239500.04421539605 909734.0008560009, 239519.57421539724 909720.9308560006, 239539.31421539932 909719.9308560006, 239565.73421539366 909738.5608559996, 239604.15421539545 909751.2508560009, 239625.23421539366 909755.370856002, 239641.79421539605 909754.4308560006, 239663.15421539545 909736.870856002, 239682.74421539903 909728.870856002, 239702.96421539783 909718.3108559996, 239725.52421540022 909697.5608559996, 239747.57421539724 909720.120856002, 239765.63421539962 909733.120856002, 239787.01421539485 909755.0608559996, 239804.46421539783 909770.0008560009, 239819.45421539992 909790.120856002, 239829.85421539843 909802.6808560006, 239848.15421539545 909830.370856002, 239859.16421539336 909841.0008560009, 239878.09421540052 909867.4308560006, 239882.74421539903 909880.6808560006, 239914.20421539992 909932.370856002, 239919.13421539962 909960.9308560006, 239932.29421539605 909986.120856002, 239942.71421539783 909999.9308560006, 239963.38421539962 910016.8108559996, 239976.26421539485 910024.8108559996, 239995.56421539932 910036.620856002, 240038.90421539545 910075.3108559996, 240049.95421539992 910089.120856002, 240072.45421539992 910101.4308560006, 240088.73421539366 910122.8108559996, 240104.98421539366 910142.2508560009, 240121.81421539932 910157.2508560009, 240140.59421540052 910176.6808560006, 240152.95421539992 910192.370856002, 240168.09421540052 910221.370856002, 240170.57421539724 910254.4308560006, 240171.62421539426 910279.2508560009, 240175.73421539366 910297.0008560009, 240198.51421539485 910326.5008560009, 240205.52421540022 910364.620856002, 240212.37421539426 910392.5008560009, 240235.32421539724 910393.370856002, 240258.26421539485 910394.2508560009, 240286.26421539485 910393.120856002, 240308.37421539426 910381.870856002, 240345.74421539903 910369.8108559996, 240368.56421539932 910363.0008560009, 240403.40421539545 910350.9308560006, 240445.82421539724 910336.1808560006, 240462.93421539664 910330.8108559996, 240476.79421539605 910322.2508560009, 240482.93421539664 910308.1808560006, 240494.06421539932 910288.2508560009, 240500.51421539485 910255.6808560006, 240510.21421539783 910226.1808560006, 240524.88421539962 910189.0008560009, 240551.85421539843 910164.370856002, 240576.49421539903 910152.4308560006, 240602.51421539485 910147.5608559996, 240642.63421539962 910146.870856002, 240671.20421539992 910179.4308560006, 240704.31421539932 910216.4308560006, 240718.48421539366 910226.370856002, 240772.71421539783 910270.0008560009, 240801.81421539932 910294.9308560006, 240830.12421539426 910312.2508560009, 240870.12421539426 910342.7508560009, 240905.46421539783 910359.9308560006, 240932.60421539843 910384.3108559996, 240969.74421539903 910395.7508560009, 240991.76421539485 910417.0008560009, 241030.88421539962 910433.5008560009, 241058.96421539783 910473.7508560009, 241070.27421540022 910503.5008560009, 241084.20421539992 910535.7508560009, 241105.06421539932 910602.1808560006, 241113.29421539605 910617.0008560009), (240554.16421539336 908747.8108559996, 240565.15421539545 908757.8108559996, 240530.26421539485 908776.3108559996, 240554.16421539336 908747.8108559996))"
GISDATA.ACECS_POLY.2,1,Cedar Swamp,7/3/75,EVELYN F. MURPHY,DCR,INLAND,21.31,1649.7,"POLYGON ((195444.38421539962 890887.0008560009, 195375.84421540052 890893.870856002, 195325.57421539724 890892.5008560009, 195290.27421540022 890894.9308560006, 195269.99421539903 890907.3108559996, 195257.81421539932 890911.5008560009, 195223.82421539724 890909.2508560009, 195195.29421539605 890908.9308560006, 195174.96421539783 890913.870856002, 195211.07421539724 890928.9308560006, 195290.88421539962 890969.6808560006, 195311.98421539366 890974.8108559996, 195337.09421540052 890971.8108559996, 195358.88421539962 890979.620856002, 195382.81421539932 890999.5608559996, 195397.15421539545 891008.8108559996, 195419.04421539605 891026.0608559996, 195432.13421539962 891050.120856002, 195468.96421539783 891065.8108559996, 195513.23421539366 891082.120856002, 195580.01421539485 891108.9308560006, 195639.95421539992 891128.370856002, 195658.23421539366 891121.4308560006, 195668.27421540022 891103.120856002, 195685.68421539664 891073.2508560009, 195703.12421539426 891045.4308560006, 195732.12421539426 891019.4308560006, 195754.37421539426 891000.3108559996, 195755.62421539426 890986.1808560006, 195750.66421539336 890962.6808560006, 195734.21421539783 890944.6808560006, 195726.60421539843 890927.9308560006, 195713.57421539724 890911.9308560006, 195700.54421539605 890896.5608559996, 195699.02421540022 890876.370856002, 195694.76421539485 890853.5608559996, 195676.24421539903 890833.5608559996, 195644.90421539545 890821.1808560006, 195625.27421540022 890829.5008560009, 195596.16421539336 890843.3108559996, 195571.79421539605 890851.0608559996, 195527.10421539843 890867.0608559996, 195486.45421539992 890879.0608559996, 195444.38421539962 890887.0008560009))"
GISDATA.ACECS_POLY.3,1,Cedar Swamp,7/3/75,EVELYN F. MURPHY,DCR,INLAND,1,1649.7,"POLYGON ((194137.06421539932 890294.3108559996, 194199.76421539485 890319.120856002, 194202.31421539932 890299.5608559996, 194194.04421539605 890285.5008560009, 194184.95421539992 890253.9308560006, 194174.56421539932 890227.8108559996, 194164.20421539992 890205.6808560006, 194150.63421539962 890208.5608559996, 194145.43421539664 890236.9308560006, 194146.23421539366 890252.370856002, 194145.65421539545 890265.1808560006, 194141.71421539783 890281.4308560006, 194137.06421539932 890294.3108559996))"
