FID,station,c_railstat,amtrak,map_sta,shape
GISDATA.TRAINS_NODE.272,BEVERLY,Y,,,POINT (250483.71880794317 922109.9374943227)
GISDATA.TRAINS_NODE.281,HOPEDALE (P),,,,POINT (196591.79689820856 875366.3749991246)
GISDATA.TRAINS_NODE.283,LYNN,Y,,Y,POINT (245455.0468940884 912530.0624893047)
GISDATA.TRAINS_NODE.285,MELROSE/HIGHLANDS,Y,,,POINT (235480.53129532933 913229.9374975488)
GISDATA.TRAINS_NODE.286,MELROSE/CEDAR PARK,Y,,,POINT (235370.98439012468 912158.8124966696)
GISDATA.TRAINS_NODE.287,WYOMING HILL,Y,,Y,POINT (235428.0468928367 911367.1875090711)
GISDATA.TRAINS_NODE.288,NATICK CENTER,Y,,Y,POINT (212538.40630563349 892806.687502496)
GISDATA.TRAINS_NODE.291,WEYMOUTH LANDING/EAST BRAINTREE,Y,,Y,POINT (244006.79690030217 885849.8124970607)
GISDATA.TRAINS_NODE.293,WEDGEMERE,Y,,Y,POINT (229608.43749141693 910548.9374952056)
GISDATA.TRAINS_NODE.294,ANDERSON/WOBURN,Y,Y,Y,POINT (229280.00000081956 918417.8749939613)
GISDATA.TRAINS_NODE.297,CANTON CENTER,Y,,Y,POINT (229291.5938013643 878540.9374999069)
GISDATA.TRAINS_NODE.298,CANTON JUNCTION,Y,,,POINT (228603.7193936929 879304.2870111652)
GISDATA.TRAINS_NODE.303,CANTON JUNCTION,Y,,Y,POINT (228599.99009352177 879303.9978111498)
GISDATA.TRAINS_NODE.305,READVILLE,,,,POINT (230236.0346962288 887590.5453047417)
GISDATA.TRAINS_NODE.307,READVILLE,Y,,Y,POINT (230210.58729501814 887587.497204598)
GISDATA.TRAINS_NODE.308,HYDE PARK,Y,,,POINT (230908.82870317996 889481.1838945411)
GISDATA.TRAINS_NODE.311,CONCORD,Y,,,POINT (211611.37501160055 911845.2500067763)
GISDATA.TRAINS_NODE.312,LINCOLN,Y,,,POINT (214328.21879064292 907070.5000049882)
GISDATA.TRAINS_NODE.313,HASTINGS,Y,,,POINT (217360.12500965595 903942.3125064075)
GISDATA.TRAINS_NODE.314,WAVERLEY,Y,,,POINT (225481.76559541374 904169.6874922067)
GISDATA.TRAINS_NODE.316,WEST CONCORD,Y,,,POINT (208825.00000425428 911840.1250065342)
GISDATA.TRAINS_NODE.317,SILVER HILL,Y,,,POINT (216292.593808949 905033.6875082478)
GISDATA.TRAINS_NODE.318,KENDAL GREEN,,,,POINT (217849.00000787526 903273.7499996535)
GISDATA.TRAINS_NODE.319,BRANDEIS/ROBERTS,Y,,,POINT (219762.99999878556 901294.1875056289)
GISDATA.TRAINS_NODE.320,BELMONT,Y,,,POINT (226689.9063027948 905102.8750115335)
GISDATA.TRAINS_NODE.321,NORTH STATION,Y,Y,,POINT (236033.81249660254 901827.8125059754)
GISDATA.TRAINS_NODE.322,WALTHAM,Y,,Y,POINT (221700.15629079193 902656.3124953285)
GISDATA.TRAINS_NODE.323,CONCORD,Y,,Y,POINT (211616.78131186217 911847.875006903)
GISDATA.TRAINS_NODE.324,LINCOLN,Y,,Y,POINT (214333.5155908987 907072.7500050962)
GISDATA.TRAINS_NODE.325,HASTINGS,Y,,Y,POINT (217361.68750973046 903948.0625066832)
GISDATA.TRAINS_NODE.326,WAVERLEY,Y,,Y,POINT (225477.34379520267 904171.4374922924)
GISDATA.TRAINS_NODE.327,PORTER SQUARE,Y,,Y,POINT (231338.87499860674 904279.812497437)
GISDATA.TRAINS_NODE.328,LITTLETON/ROUTE 495,Y,,Y,POINT (199795.57810038328 918749.8750097305)
GISDATA.TRAINS_NODE.329,SOUTH ACTON,Y,,Y,POINT (203462.31249954551 912203.6874988042)
GISDATA.TRAINS_NODE.330,WEST CONCORD,Y,,Y,POINT (208823.78130419552 911843.875006713)
GISDATA.TRAINS_NODE.331,SILVER HILL,Y,,Y,POINT (216292.93750896305 905038.0625084527)
GISDATA.TRAINS_NODE.332,KENDAL GREEN,Y,,Y,POINT (217853.01560806483 903275.1249997206)
GISDATA.TRAINS_NODE.333,BRANDEIS/ROBERTS,Y,,Y,POINT (219761.67189872265 901297.1250057705)
GISDATA.TRAINS_NODE.334,BELMONT,Y,,Y,POINT (226690.28130280972 905107.0000117272)
GISDATA.TRAINS_NODE.339,NORTH STATION,Y,Y,,POINT (236042.06249699742 901833.062506225)
GISDATA.TRAINS_NODE.340,NORTH STATION,Y,Y,,POINT (236046.18749719113 901836.9375064075)
GISDATA.TRAINS_NODE.343,NORWOOD DEPOT,Y,,Y,POINT (225031.68749903142 882918.1875078157)
GISDATA.TRAINS_NODE.344,MISHAWUM,Y,,Y,POINT (229839.51560239494 917011.062502142)
GISDATA.TRAINS_NODE.345,MISHAWUM,Y,,,POINT (229835.40630219877 917010.1875020973)
GISDATA.TRAINS_NODE.346,MALDEN CENTER,Y,,Y,POINT (235035.2030991763 908539.2499997504)
GISDATA.TRAINS_NODE.347,READVILLE,,,,POINT (230233.5163961053 887591.8834048063)
GISDATA.TRAINS_NODE.354,HOLBROOK/RANDOLPH,Y,,Y,POINT (239032.8593890518 878440.5624951385)
GISDATA.TRAINS_NODE.355,JFK/UMASS,Y,,Y,POINT (236915.4999884814 896790.0624916963)
GISDATA.TRAINS_NODE.356,NEEDHAM JUNCTION,Y,,Y,POINT (221730.93749225885 891426.1250119209)
GISDATA.TRAINS_NODE.357,NEEDHAM CENTER,Y,,Y,POINT (221622.59381210804 892228.8750000484)
GISDATA.TRAINS_NODE.358,HERSEY,Y,,Y,POINT (223542.23440328985 891739.437501803)
GISDATA.TRAINS_NODE.359,WEST ROXBURY,Y,,Y,POINT (228059.03129282594 892394.5000079162)
GISDATA.TRAINS_NODE.360,HIGHLAND,Y,,Y,POINT (228518.40628964454 892760.6875003092)
GISDATA.TRAINS_NODE.361,BELLEVUE,Y,,Y,POINT (229239.53129889816 892961.6250098534)
GISDATA.TRAINS_NODE.362,ROSLINDALE VILLAGE,Y,,Y,POINT (230378.57810299844 893019.0624875836)
GISDATA.TRAINS_NODE.363,SOUTH STATION,Y,Y,,POINT (236635.51120018214 900197.9103035592)
GISDATA.TRAINS_NODE.365,ROUTE 128,Y,Y,Y,POINT (229134.10939388722 884487.5000073537)
GISDATA.TRAINS_NODE.367,CANTON JUNCTION,Y,,,POINT (228609.02169394493 879304.3397111669)
GISDATA.TRAINS_NODE.368,CANTON JUNCTION,Y,,,POINT (228613.74249417335 879304.5684111789)
GISDATA.TRAINS_NODE.369,WEST NEWTON,Y,,,POINT (222136.64061152935 899732.8750064708)
GISDATA.TRAINS_NODE.370,WELLESLEY SQUARE,Y,,,POINT (216909.23438823968 894091.4999885187)
GISDATA.TRAINS_NODE.371,BACK BAY,Y,Y,Y,POINT (235009.4503979534 899773.1631083861)
GISDATA.TRAINS_NODE.372,WEST STATION (P),,,,POINT (230244.31249661744 900711.312502943)
GISDATA.TRAINS_NODE.373,QUINCY CENTER,Y,,Y,POINT (240827.24999928474 889103.8750016205)
GISDATA.TRAINS_NODE.375,RUGGLES,Y,,,POINT (233846.7788927257 898539.0287997648)
GISDATA.TRAINS_NODE.376,RUGGLES,Y,,Y,POINT (233852.61789300293 898531.4950994067)
GISDATA.TRAINS_NODE.377,RUGGLES,Y,,,POINT (233856.606293194 898527.3870992139)
GISDATA.TRAINS_NODE.378,RIVER WORKS,Y,,,POINT (243624.1875071302 911165.3124994822)
